,job_bullets,job_company,job_description,job_employment_type,job_ids,job_industry,job_location,job_salary,job_sub_industry,job_sub_location,job_title,job_urls,file,salary_k,salary_comma,salary_num,salary_lower,salary_upper,salary,description_len,job_text
0,0,Big Wednesday,Big Data Engineer - US Dot-com Company,Full Time,34455993,Information & Communication Technology,Melbourne,US$65k - US$105k p.a. + Negotiable,Engineering - Software,Unknown,Big Data Engineer - (Scala or Java or Python),https://www.seek.com.au/job/34455993,big-data,"65k, 105k",,,65000.0,105000.0,85000.0,7.0,"Big Data Engineer - US Dot-com Company Requirements: Willing to relocate to Bangkok, Thailand -  Visa sponsorship and relocation provided b""Bachelors degree in Computer Science /Information Systems/Engineering/related field"" You will have at least  3 years  exp working with modern systems languages You will be experienced in debugging and reasoning about production issues A good understanding of data architecture principles Bonuses Any experience with Big Data technologies / tools Strong systems administration skills in Linux Strong experience in JVM languages (Java / Scala in particular) Python/Perl/Go/Shell scripting skills also a plus. Any experience working with Lambda Architectures and/or open source products Working in an agile environment using test driven methodologies. A few of the technologies our client uses, that you will get to play with: Spray, Hadoop, Kibana, ElasticSearch, Yarn, Akka, Mesos, Kafka, Sensu, Redis, Scala, Python, Cassandra, Postgres, Spark, OpenStack, Logstash, Couchbase, Vertica, Grafana, Go. Our client is the largest and fastest growing online hotel booking platform in Asia and part of the largest online travel company in the world. They have the dynamism and short chain of command of a start-up and the capital to make things happen. In this competitive world of online travel agencies, finding even the slightest advantage in the data can make or break a company. That is why they put data systems in their top priorities. Their systems scale across multiple data centres, totalling a few million writes per second and managing petabytes of data. They deal with problems from real-time data-ingestion, replication, enrichment, storage and analytics. They are not just using Big Data technologies, they are pushing them to the edge b""While they are proud of what theyve built so far, there is still a long way to go to fulfil their vision regarding data. They want you to be as passionate about data technology as they are, to join the fight."" You can be part of crafting, building, deploying (and probably debugging) products across all aspects of their core data platform products. Responsibilities: You will Improve scalability, stability, accuracy, speed and efficiency of existing data systems Design, build, test and deploy new libraries, frameworks or full systems for core systems while keeping to the highest standards of testing and code quality Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks. We welcome both local and international applications for this role. Full visa sponsorship and relocation assistance available for eligible persons. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
1,0,Big Wednesday,Our client a leading IT company in Asia is currently looking for a visionary Big Data professional to head their growing Big Data team in Bangkok.,Full Time,34445914,Information & Communication Technology,Melbourne,£85k - £150k p.a. + Negotiable,Management,Unknown,"Head of Big Data - Relocate to Bangkok, Thailand",https://www.seek.com.au/job/34445914,big-data,"85k, 150k",,,85000.0,150000.0,117500.0,26.0,"Our client a leading IT company in Asia is currently looking for a visionary Big Data professional to head their growing Big Data team in Bangkok, Thailand. The ideal candidate would have a minimum of  10  years experience within big data  and hands-on experience with some of these big data tools and technologies such as Hadoop, Spark, Hive, Impala, Scala, Avro, Parquet,Sensu, ElasticSearch, Python, Django, Postgres, Vertica, Graphite, Grafana, MSSQL, AtScale and at least  5 years managing sizable teams  within an  agile  environment. Responsibilities Lead a team of approximately 5-10 IT (hands on) project managers in the big data group to develop the right culture and methodologies within the teams Set the KPIs for the teams and work with team managers to make sure they are met Sign off any architecture or design within the teams Build the road map for their big data ecosystem and set the milestones and commitment from the teams Represent the big data team and products outside the team, collect requirements and push for adoptions of new features. Desired Skills Great leadership skills, ability to inspire others and good communication skills At least 10 years experience in software development in agile environment At least 5 years experience in management of development teams Experience in architecting large scale systems with preference to big data Experience with big data technologies - Hadoop, Cassandra, Spark, Kafka, etc. Experience troubleshooting problems and working with a team to resolve large scale production issues Experience with configuration management systems (e.g. Puppet, Chef, Saltstack, etc) and version control (eg. git, svn) Bachelors degree in Computer Science / Information Systems / Engineering / related field Willing to relocate to Bangkok, Thailand Role open to both local and international candidates - full relocation and visa sponsorship provided for eligible candidates. Please send in your CV now to learn more."
2,0,Just Digital People,"Senior Devops Engineer with an appreciation Big Data, Analytics and Cloud Computing",Full Time,34433930,Information & Communication Technology,Sydney,$140k+Super,Engineering - Software,"CBD, Inner West & Eastern Suburbs","Senior DevOps Engineer, with appreciation of Big Data",https://www.seek.com.au/job/34433930,big-data,140k,,,140000.0,,140000.0,12.0,"DevOps / Site Reliability Engineer (AWS) New permanent role in Sydney  A successful company near CBD have recently signed off a brand new Senior DevOps engineering role. Its an exciting time of growth for them as they grow their customer base.  Over the past few years, the business have built upon their tech stack, which now looks like; PHP / LEMP stack / ReactJS / Node / CI / Lambda / API gateway / ElasticSearch / Kibana / StatsD / Conviva / Prometheus We are not looking for a Devops engineer from an infra background. Were looking for someone that will have that background in DevOps space but also experience in the engineering space. That tech could be; Java, Node.JS or Python (but probably Python)  for Lambda functions.  This role is for a senior level DevOps engineer that will work alongside a great full-stack development team.  Responsibilities  Were looking for someone that will have that background in DevOps space but also experience in the engineering space. That tech could be; Java, Node.JS or Python (but probably Python)  for Lambda functions.  Youd be working alongside a Cloud Solutions Architect, helping then build out an automation pipeline at present, as well as a talented LEMP stack PHP engineering team.  We need someone who will be seeking out information and be a bit of a leader, as its not a hugely defined role. The Stakeholders can be quite hard at times.  The right person will be someone that knows a lot about the AWS space, instrumentation  for their application stack, so, Elastic Search, metrics, StatsD, time series Databases, point in time, etc. You could be from a maths type background, rather than a statistics background.  Tasks include; Building dashboards from log files, pre-processing. All in all  a good engineer that knows AWS well.  Good points  pretty cool project to work on! If you can put up with the lack of direction. Some of the stack could  look like;  Technology you would be working with;  Puppet, or Travis CI / Lambda / API Gateway / Cloudfront / Elastic Beanstalk / Python Scripting  Conviva, Elastic search, Kibana, Statsd, Prometheus, Kubernetes etc  This role pays in the $140k+Super region, give or take.  Please apply to Nick Shepherd for a conversation, with your latest CV. Thank you."
3,0,FourQuarters Recruitment,Head of Big Data required to build and manage the Big Data division of a leading technology business.,Full Time,34413441,Information & Communication Technology,Melbourne,$275000,Other,Unknown,Head of Big Data Engineering - CBD-based,https://www.seek.com.au/job/34413441,big-data,,,275000,275000.0,,275000.0,18.0,"Head of Big Data required to build and manage the Big Data division of a leading technology business. As Head of Big Data, you will be responsible for: building strong relationships with exec-level stakeholders across the business to provide data and analytical solutions leading, upskilling and further building out a team of Big Data Engineers to deliver solutions In order to be considered for this role, you must have the following: extensive experience building, leading and training Big Data Engineers  a solid background delivering Big Data and BI solutions, with strong skills around Hadoop, R, Python etc a proven track record engaging with senior business stakeholders  experience working in a highly matrixed organisation, with a realistic understanding of the related challenges and pressures b""If you feel you have the right skills and experience, click on the Apply button or call Sabina Ahuja on (03)99828478"""
4,0,FourQuarters Recruitment,Big Data Engineer required to join a leading financial services organisation.,Full Time,34413442,Information & Communication Technology,Melbourne,$200000,Developers/Programmers,Unknown,"Big Data Engineer - Hadoop, AWS",https://www.seek.com.au/job/34413442,big-data,,,200000,200000.0,,200000.0,11.0,"Big Data Engineer required to join a leading financial services organisation. As a Big Data Engineer, you will be responsible for: Implementing analytical solutions  Publish and enforce Big Data Analytics Tools best practices, configuration recommendations In order to be considered for this role, you MUST have solid experience with: Analytics concepts, model development and BI  The Hadoop ecosystem - HDFS, MapReduce, Hive, etc.  Developing Hadoop integrations for data ingestion, data mapping and data processing capabilities Large scale ETL, BI and/or Analytical platforms  Any experience with statistical analysis software - ideally R  If you believe you have the skills required for this role, please call Sabina Ahuja on (03)99828478 or send your CV to sahuja@fourquarters.com.au"
5,"Up to $300K package Java, Python or C++ programming skills a must",Halcyon Knights Pty Ltd,Join this killer Big Data business and be the technical rep architecting enterprise data solutions for Enterprise customers!,Full Time,34412418,Information & Communication Technology,Sydney,$300K OTE ,Sales - Pre & Post,"CBD, Inner West & Eastern Suburbs",Pre-Sales Solutions Architect - Big Data/Analytics ($300K) ,https://www.seek.com.au/job/34412418,big-data,300K,,,300000.0,,300000.0,18.0,"Leveraging the most sophisticated technology of the modern day era, our client has built a software platform for Big Data and Analytics; faster and more capable than any other. To compliment the ANZ Sales team, they now need a hands-on technical rep responsible for architecting enterprise data solutions for large organizations. b""In this role, youll work with customers, partners, and prospects to understand and propose solutions driving progress towards success. Your job will be to own the technical relationship from introduction educating prospects on the business impact and value of various offerings."" Key Job Functions Include gathering information on and understanding customer business challenges  articulating the value proposition and differentiation at all levels within Enterprise Accounts engaging in and responding to RFI/RFP procurement processes qualifying opportunities building and delivering comprehensive customized demonstrations working within the sales team to own technical relationships with prospects from developer to CIO managing delivering Proof of Concepts (POC) managing a high number of concurrent active prospects Key Skills and Experience Degree in Computer Science, Mathematics, Engineering or relevant technical discipline Experience and knowledge of Relational and NoSQL databases High level proficiency in Java, Python or C++ programming Linux expertise 2+ years experience working in a customer-facing consulting role The successful applicant will recieve an attractive salary package and play an integral role in regional growth. If this sounds like you, please apply below by attaching your resume and a cover letter. Alternatively email your resume and cover letter to Paul Dimond -pauld@halcyonknights.com.au b""For other exciting job opportunities and to keep up-to-date with the IT world, please Follow Halcyon Knights on LinkedIn"" www.linkedin.com/company/halcyon-knights"
6,0,Just Digital People,"New senior permanent role, for a Devops, BIG data Engineer.Puppet, or Travis CI / Lambda / API Gateway / Cloudfront / Elastic Beanstalk / Python",Full Time,34397945,Information & Communication Technology,Sydney,$140k+Super,Engineering - Software,"CBD, Inner West & Eastern Suburbs",DevOps - Big Data - Reliability Engineer - Sydney,https://www.seek.com.au/job/34397945,big-data,140k,,,140000.0,,140000.0,25.0,"DevOps / Site Reliability Engineer (AWS) New permanent role in Sydney  A successful company near CBD have recently signed off a brand new Senior DevOps engineering role. Its an exciting time of growth for them as they grow their customer base.  Over the past few years, the business have built upon their tech stack, which now looks like; PHP / LEMP stack / ReactJS / Node / CI / Lambda / API gateway / ElasticSearch / Kibana / StatsD / Conviva / Prometheus We are not looking for a Devops engineer from an infra background. Were looking for someone that will have that background in DevOps space but also experience in the engineering space. That tech could be; Java, Node.JS or Python (but probably Python)  for Lambda functions.  This role is for a senior level DevOps engineer that will work alongside a great full-stack development team.  Responsibilities  Were looking for someone that will have that background in DevOps space but also experience in the engineering space. That tech could be; Java, Node.JS or Python (but probably Python)  for Lambda functions.  Youd be working alongside a Cloud Solutions Architect, helping then build out an automation pipeline at present, as well as a talented LEMP stack PHP engineering team.  We need someone who will be seeking out information and be a bit of a leader, as its not a hugely defined role. The Stakeholders can be quite hard at times.  The right person will be someone that knows a lot about the AWS space, instrumentation  for their application stack, so, Elastic Search, metrics, StatsD, time series Databases, point in time, etc. You could be from a maths type background, rather than a statistics background.  Tasks include; Building dashboards from log files, pre-processing. All in all  a good engineer that knows AWS well.  Good points  pretty cool project to work on! If you can put up with the lack of direction. Some of the stack could  look like; $140k+Super Technology you would be working with;  Puppet, or Travis CI / Lambda / API Gateway / Cloudfront / Elastic Beanstalk / Python Scripting  Conviva, Elastic search, Kibana, Statsd, Prometheus, Kubernetes etc  This role pays in the $140k+Super region, give or take.  Please apply to Nick Shepherd for a conversation, with your latest CV. Thank you."
7,0,Naviro,"We are specialists in 'Big Data' Platforms, building tools to enable companies understand and make good use of their data. Scala|Hadoop|Java|Python",Full Time,34377190,Information & Communication Technology,ACT,"$160,000 - $200,000 + Bonus + Benefits",Engineering - Software,Unknown,"R&D ""Big Data"" Engineers | Hadoop/MapReduce/Scala/Python| Tech Startup",https://www.seek.com.au/job/34377190,big-data,,"160,000, 200,000",,160000.0,200000.0,180000.0,21.0,"b""We are specialists in Big Data Platforms, building tools to enable enterprise companies understand and make good use of their data."" We are a collaborative team and are looking to grow across all areas on Engineering - Tools Development, Back End (Java/FP), UI/UX ( A Little bit about us  We have a very cool ultra modern office in the CBD b"" Regular Social Events: Weekly BBQs/Fully Stocked Kitchen/Rooftop Terrace/Pool Table""  We have a High Performance Engineering Team working with the latest technologies  Flexible working hours offering full work life balance potential  About you  Open Source Big Data languages and Tools i.e. Hadoop/MapReduce/Spark Streaming  Java/Python/Scala  Linux  Understand FP practices - probably dabbled withScala/Erlang/Haskel etc  Believe that testing is an art, not an after thought  Statistics/Machine Learning/Big Data Analytics/Modelling etc  Git  Highly motivated and entrepreneurial character We have multiple roles for all levels, and salaries to match.  We run as a startup, so attitude is very important. Passion and dedication are key to being successful with your application.   Please Apply now with a CV you are really proud of, that demonstrates what you are capable of along with your key achievements to date."
8,Autonomous work environment with remote working options Unparalleled staff retention with exceptional culture Innovative  big data  driven web product built in 'Go',Naviro,"Mid to Senior Software Engineer opportunity with a globally expanding established start-up. Latest tech; Go, MongoDB, Angular.js, AWS - Sydney CBD",Full Time,34367191,Information & Communication Technology,Sydney,$110k - $140k - depending on experience,Developers/Programmers,"CBD, Inner West & Eastern Suburbs","Software Engineer - Golang, Python, Mongo, Angular, AWS @ Big Data Web Platform",https://www.seek.com.au/job/34367191,big-data,"110k, 140k",,,110000.0,140000.0,125000.0,21.0,"My client, a globally expanding big data driven web platform are now hiring a Software Developer in their Sydney CBD based team. After an additional multi-million dollar investment the company has some big plans for 2017 to continue their growth in their UK, US and Australian teams. b""Youll have the opportunity to develop a product with huge scaling potential using best practice engineering and the latest technologies."" In return for your hard work, the company can offer flexible work options and a highly attractive culture that is reflected with their exceptional staff retention track record. The tech stack; Golang / Python  Javascipt / Angular.js Mongo DB / PostgreSQL Agile engineering environment About you; Love to solve problems Excellent documentation, Github etc Stay current with latest tools and tech Passion for buliding scalable web products This position is best suited to either mid / senior candidates with 2-5 years experience. b""Youll love to use github and unit testing always providing clear documentation on your work and have a real passion for start-ups."" If you satisfy the above criteria then please send your most up to date CV for review."
9,"Join Melbourne's Top  Big Data  Team Functional Programming and Machine Learning (Scala, Haskell, Clojure) Melbourne CBD",Ambition Technology,"Required: Software Engineer (Functional Programming) to join a bleeding edge Big Data team on a permanent basis. Scala, Clojure, Haskell etc.",Full Time,34354782,Information & Communication Technology,Melbourne,$130k - $170k p.a.,Engineering - Software,CBD & Inner Suburbs,"Big Data Developer (Haskell, Scala, Clojure)",https://www.seek.com.au/job/34354782,big-data,"130k, 170k",,,130000.0,170000.0,150000.0,21.0,"Big Data Developer (Functional Programming) up to $170k package (dependant on exp) b""My client, based in Melbournes CBD, and one of Australias most loved and well known organisations is currently looking for a Software Engineer to join its bleeding edge Big Data team on a permanent basis."" The multi-disciplinary Big Data team exists to fundamentally change the way that the organisation drives action from data. The team landscape covers business knowledge, machine learning, software and data engineering, architecture, strategy, commercial management, product ownership, analytical operations and Big Data platform engineering. Skills: Must have expertise in  Functional Programming e.g. Scala, Haskell, Clojure Experience in Functional composition and Immutable data structures proven success in developing reactive, asynchronous designs Hands on experience with source control, automated testing and continuous integration / continuous deployment. Test-driven development Scrum, Kanban Experience designing relational database schemas Experience designing and building non-relational data stores e.g. HDFS, Cassandra S or M.S in Computer Science or similar field Role responsibilities: Work collaboratively with diverse stakeholders to clearly identify significant business challenges that can be addressed with Big Data analytical techniques Participate in the translation of business problems into clear experimental designs that can be addressed quantifiably with available Big Data datasets and tools including input into business cases as required Lead / participate in the scoping and implementation of programs of work to deliver full lifecycle Big Data analytics to channel e.g. to improve customer experience and engage new customers. b""If this opportunity is something that would be of interest to you please hit APPLY or call Charlie Beattie on 03 8629 1029"""
